SECTNO,CFRSubject,Original_sentence,Matched_Label,Matched_Text
§ 0.7   ,Delegation of functions.,"In actions in which no Commissioner is available or no Commissioner is participating, the General Counsel in consultation, where appropriate, with the Directors of the Bureaus of Consumer Protection, Competition, and Economics shall exercise this delegated authority without power of redelegation.",obligations,Economics shall exercise
§ 0.16   ,Bureau of Competition.,"Such action may include injunctive and other equitable relief in Federal district court, complaint and litigation before the agency's administrative law judges, formal nonadjudicative settlement of complaints, trade regulation rules, or reports.",permissions,action may include
§ 0.17   ,Bureau of Consumer Protection.,"The Bureau also maintains the agency's public reference facilities, where the public may inspect and copy a current index of opinions, orders, statements of policy and interpretations, staff manuals and instructions that affect any member of the public, and other public records of the Commission.",permissions,public may inspect
§ 1.1   ,Policy.,"(a) Any person, partnership, or corporation may request advice from the Commission with respect to a course of action which the requesting party proposes to pursue.",permissions,corporation may request
§ 1.2   ,Procedure.,"If the request is for advice as to whether the proposed course of action may violate an outstanding order to cease and desist issued by the Commission, such request will be considered as provided for in § 2.41 of this chapter.",permissions,action may violate
§ 1.3   ,Advice.,Notice of such rescission or revocation will be given to the requesting party so that he may discontinue the course of action taken pursuant to the Commission's advice.,permissions,he may discontinue
§ 1.5   ,Purpose.,Failure to comply with the guides may result in corrective action by the Commission under applicable statutory provisions.,permissions,guides may result
§ 1.5   ,Purpose.,Guides may relate to a practice common to many industries or to specific practices of a particular industry.,permissions,Guides may relate
§ 1.6   ,How promulgated.,"In connection with the promulgation of industry guides, the Commission at any time may conduct such investigations, make such studies, and hold such conferences or hearings as it may deem appropriate.",permissions,it may deem
§ 1.8   ,"Nature, authority and use of trade regulation rules.",Such rules may include requirements prescribed for the purpose of preventing such acts or practices.,permissions,rules may include
§ 1.8   ,"Nature, authority and use of trade regulation rules.","A violation of a rule shall constitute an unfair or deceptive act or practice in violation of section 5(a)(1) of that Act, unless the Commission otherwise expressly provides in its rule.",obligations,rule shall constitute
§ 1.8   ,"Nature, authority and use of trade regulation rules.","However, the respondent in an adjudicative proceeding may show that his conduct does not violate the rule or assert any other defense to which he is legally entitled.",permissions,proceeding may show
